Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#19;20;3261.88;1661.15;371.879;M3C2 distance;19;1.43753;0.907177;27.3131;distance uncertainty;13;1.0941;0.392798;14.2233;significant change;20;0.45;0.497494;9;STD_cloud2;20;0.920353;0.300548;18.4071;STD_cloud1;19;0.776649;0.605646;14.7563;Npoints_cloud2;20;87.8;22.3978;1756;Npoints_cloud1;20;5.8;3.23419;116;Npoints cloud1 3D;20;34.1;11.2067;682;Npoints cloud2 3D;20;407.45;40.7449;8149;STD cloud1 3D;20;0.767171;0.176787;15.3434;STD cloud2 3D;20;0.548472;0.0886183;10.9694;significant change 3D;20;1;0;20;distance uncertainty 3D;20;0.610121;0.0894942;12.2024;M3C2 distance 3D;20;0.885427;0.167804;17.7085;
Vertical_M3C2 - Cloud_CC#21;738;2901.28;1388.97;378.646;M3C2 distance;738;3.64685;2.63844;2691.37;distance uncertainty;738;0.645786;0.289197;476.59;significant change;738;0.933604;0.248972;689;STD_cloud2;738;0.8878;0.267009;655.196;STD_cloud1;738;0.718421;0.88521;530.195;Npoints_cloud2;738;230;68.8805;169740;Npoints_cloud1;738;35.0786;11.4387;25888;Npoints cloud1 3D;738;32.5149;14.6132;23996;Npoints cloud2 3D;738;198.53;92.9841;146515;STD cloud1 3D;738;0.782259;0.405605;577.307;STD cloud2 3D;738;0.166781;0.111012;123.084;significant change 3D;738;1;0;738;distance uncertainty 3D;738;0.627711;0.181226;463.251;M3C2 distance 3D;738;3.47452;2.34105;2564.19;
Vertical_M3C2 - Cloud_CC#22;160;3083.52;1363.7;381.311;M3C2 distance;155;0.980896;0.599977;152.039;distance uncertainty;124;0.861954;0.154407;106.882;significant change;160;0.375;0.484123;60;STD_cloud2;160;1.0427;0.128733;166.833;STD_cloud1;155;0.775227;0.323864;120.16;Npoints_cloud2;160;128.369;27.325;20539;Npoints_cloud1;160;11.3187;8.85958;1811;Npoints cloud1 3D;160;15.1438;9.72615;2423;Npoints cloud2 3D;160;196.981;138.204;31517;STD cloud1 3D;160;0.188238;0.127634;30.118;STD cloud2 3D;160;0.131315;0.0823068;21.0104;significant change 3D;160;1;0;160;distance uncertainty 3D;160;0.438105;0.0689945;70.0968;M3C2 distance 3D;160;0.675818;0.255163;108.131;
Vertical_M3C2 - Cloud_CC#25;20;3308.98;1620;373.877;M3C2 distance;20;0.652871;0.373674;13.0574;distance uncertainty;20;0.87037;0.233899;17.4074;significant change;20;0.4;0.489898;8;STD_cloud2;20;0.928122;0.107369;18.5624;STD_cloud1;20;0.84834;0.36755;16.9668;Npoints_cloud2;20;191.9;34.4353;3838;Npoints_cloud1;20;10.75;2.75454;215;Npoints cloud1 3D;20;9.45;3.36861;189;Npoints cloud2 3D;20;174.8;61.4179;3496;STD cloud1 3D;20;0.20541;0.0840295;4.10819;STD cloud2 3D;20;0.186352;0.0316537;3.72704;significant change 3D;20;1;0;20;distance uncertainty 3D;20;0.470677;0.0529052;9.41355;M3C2 distance 3D;20;0.615946;0.0983949;12.3189;
Vertical_M3C2 - Cloud_CC#27;1571;3361.06;1665.31;380.044;M3C2 distance;1570;4.71051;2.77643;7395.49;distance uncertainty;1516;0.687119;0.249342;1041.67;significant change;1571;0.945894;0.226226;1486;STD_cloud2;1571;0.667481;0.330109;1048.61;STD_cloud1;1570;0.526362;0.447172;826.389;Npoints_cloud2;1571;163.481;47.6909;256828;Npoints_cloud1;1571;12.3514;4.51393;19404;Npoints cloud1 3D;1571;13.4494;6.4612;21129;Npoints cloud2 3D;1571;167.442;105.589;263052;STD cloud1 3D;1571;0.673308;0.373746;1057.77;STD cloud2 3D;1571;0.182494;0.134959;286.697;significant change 3D;1571;1;0;1571;distance uncertainty 3D;1571;0.706761;0.192675;1110.32;M3C2 distance 3D;1571;4.6987;2.79597;7381.66;
Vertical_M3C2 - Cloud_CC#29;2664;2958.14;1268.91;412.733;M3C2 distance;2626;0.786419;0.643182;2065.14;distance uncertainty;2200;1.00847;0.203214;2218.62;significant change;2664;0.217342;0.412437;579;STD_cloud2;2664;1.12087;0.17958;2986.01;STD_cloud1;2626;0.986451;0.339634;2590.42;Npoints_cloud2;2664;167.206;103.745;445436;Npoints_cloud1;2664;9.90653;6.02839;26391;Npoints cloud1 3D;2664;12.2406;5.92086;32609;Npoints cloud2 3D;2664;220.618;153.254;587726;STD cloud1 3D;2664;0.19642;0.103493;523.263;STD cloud2 3D;2664;0.146082;0.0898899;389.164;significant change 3D;2664;1;0;2664;distance uncertainty 3D;2664;0.448501;0.0496129;1194.81;M3C2 distance 3D;2664;0.593907;0.117152;1582.17;
Vertical_M3C2 - Cloud_CC#32;1944;2779.82;1392.06;384.668;M3C2 distance;1944;1.85628;1.34565;3608.61;distance uncertainty;1943;0.580821;0.137883;1128.53;significant change;1944;0.888889;0.31427;1728;STD_cloud2;1944;0.888875;0.36;1727.97;STD_cloud1;1944;0.858842;0.640739;1669.59;Npoints_cloud2;1944;220.559;58.999;428766;Npoints_cloud1;1944;60.8138;24.9838;118222;Npoints cloud1 3D;1944;49.9666;17.0352;97135;Npoints cloud2 3D;1944;184.081;65.8705;357853;STD cloud1 3D;1944;0.413909;0.239029;804.639;STD cloud2 3D;1944;0.136264;0.148028;264.898;significant change 3D;1944;1;0;1944;distance uncertainty 3D;1944;0.453494;0.058997;881.593;M3C2 distance 3D;1944;1.62167;1.06372;3152.53;
Vertical_M3C2 - Cloud_CC#48;2813;3397.33;1830.84;385.272;M3C2 distance;2813;2.2003;1.36123;6189.44;distance uncertainty;2755;0.70381;0.209016;1939;significant change;2813;0.89193;0.310468;2509;STD_cloud2;2813;0.875139;0.194248;2461.77;STD_cloud1;2813;0.798477;0.565124;2246.12;Npoints_cloud2;2813;174.779;60.7305;491652;Npoints_cloud1;2813;24.792;11.2201;69740;Npoints cloud1 3D;2813;21.9915;9.93022;61862;Npoints cloud2 3D;2813;158.246;85.0342;445147;STD cloud1 3D;2813;0.3866;0.206565;1087.51;STD cloud2 3D;2813;0.121706;0.0734775;342.36;significant change 3D;2813;1;0;2813;distance uncertainty 3D;2813;0.508352;0.0941279;1429.99;M3C2 distance 3D;2813;1.88693;1.09992;5307.92;
Vertical_M3C2 - Cloud_CC#49;146;3311.31;1802.12;381.141;M3C2 distance;146;1.20674;0.492506;176.184;distance uncertainty;146;0.676159;0.0904423;98.7193;significant change;146;0.821918;0.382582;120;STD_cloud2;146;0.898699;0.155811;131.21;STD_cloud1;146;0.852516;0.364543;124.467;Npoints_cloud2;146;111.301;21.2317;16250;Npoints_cloud1;146;31.589;10.0435;4612;Npoints cloud1 3D;146;26.0479;6.92754;3803;Npoints cloud2 3D;146;90.3904;17.1897;13197;STD cloud1 3D;146;0.25988;0.0829478;37.9425;STD cloud2 3D;146;0.15602;0.0749234;22.7789;significant change 3D;146;1;0;146;distance uncertainty 3D;146;0.442206;0.0357084;64.5621;M3C2 distance 3D;146;1.01035;0.375267;147.512;
Vertical_M3C2 - Cloud_CC#53;174;2737.91;1460.22;382.624;M3C2 distance;166;1.81889;0.851418;301.936;distance uncertainty;157;0.605395;0.192054;95.047;significant change;174;0.87931;0.325766;153;STD_cloud2;174;0.80721;0.124797;140.454;STD_cloud1;166;0.694014;0.543872;115.206;Npoints_cloud2;174;172.954;33.6296;30094;Npoints_cloud1;174;38.6724;21.2122;6729;Npoints cloud1 3D;174;38.7414;15.141;6741;Npoints cloud2 3D;174;200.816;137.846;34942;STD cloud1 3D;174;0.528273;0.200529;91.9195;STD cloud2 3D;174;0.154564;0.0704802;26.8941;significant change 3D;174;1;0;174;distance uncertainty 3D;174;0.516067;0.0930847;89.7957;M3C2 distance 3D;174;1.55967;0.654208;271.383;
