Name;Points;meanX;meanY;meanZ;SF#1 name;SF#1 valid values;SF#1 mean;SF#1 std.dev.;SF#1 sum;SF#2 name;SF#2 valid values;SF#2 mean;SF#2 std.dev.;SF#2 sum;SF#3 name;SF#3 valid values;SF#3 mean;SF#3 std.dev.;SF#3 sum;SF#4 name;SF#4 valid values;SF#4 mean;SF#4 std.dev.;SF#4 sum;SF#5 name;SF#5 valid values;SF#5 mean;SF#5 std.dev.;SF#5 sum;SF#6 name;SF#6 valid values;SF#6 mean;SF#6 std.dev.;SF#6 sum;SF#7 name;SF#7 valid values;SF#7 mean;SF#7 std.dev.;SF#7 sum;SF#8 name;SF#8 valid values;SF#8 mean;SF#8 std.dev.;SF#8 sum;SF#9 name;SF#9 valid values;SF#9 mean;SF#9 std.dev.;SF#9 sum;SF#10 name;SF#10 valid values;SF#10 mean;SF#10 std.dev.;SF#10 sum;SF#11 name;SF#11 valid values;SF#11 mean;SF#11 std.dev.;SF#11 sum;SF#12 name;SF#12 valid values;SF#12 mean;SF#12 std.dev.;SF#12 sum;SF#13 name;SF#13 valid values;SF#13 mean;SF#13 std.dev.;SF#13 sum;SF#14 name;SF#14 valid values;SF#14 mean;SF#14 std.dev.;SF#14 sum;
Vertical_M3C2 - Cloud_CC#43;3157;2902.67;1427.52;412.83;M3C2 distance;2958;-1.75247;1.91609;-5183.81;distance uncertainty;2050;1.06138;0.596093;2175.83;significant change;3157;0.352233;0.477666;1112;STD_cloud2;3157;1.19459;0.772892;3771.31;STD_cloud1;2958;0.910356;0.914828;2692.83;Npoints_cloud2;3157;64.7802;35.9082;204511;Npoints_cloud1;3157;8.14697;6.97109;25720;Npoints cloud1 3D;3157;12.4859;9.05844;39418;Npoints cloud2 3D;3157;109.745;93.5088;346465;STD cloud1 3D;3157;0.490638;0.435194;1548.94;STD cloud2 3D;3157;0.25488;0.207092;804.655;significant change 3D;3157;1;0;3157;distance uncertainty 3D;3157;0.644155;0.275416;2033.6;M3C2 distance 3D;3157;-1.44832;1.23309;-4572.34;
Vertical_M3C2 - Cloud_CC#46;26;3220.31;1532.81;377.011;M3C2 distance;26;-0.646161;0.545444;-16.8002;distance uncertainty;26;0.871413;0.0829814;22.6567;significant change;26;0.307692;0.461538;8;STD_cloud2;26;1.29593;0.246676;33.6942;STD_cloud1;26;1.0744;0.305925;27.9345;Npoints_cloud2;26;243.808;25.593;6339;Npoints_cloud1;26;16.9615;4.78363;441;Npoints cloud1 3D;26;13.6154;2.6323;354;Npoints cloud2 3D;26;175.5;27.0871;4563;STD cloud1 3D;26;0.231775;0.044577;6.02615;STD cloud2 3D;26;0.134994;0.0495515;3.50984;significant change 3D;26;1;0;26;distance uncertainty 3D;26;0.460323;0.0285663;11.9684;M3C2 distance 3D;26;-0.652124;0.122553;-16.9552;
Vertical_M3C2 - Cloud_CC#48;76;3171.33;1651.52;378.084;M3C2 distance;76;-1.59678;0.821028;-121.355;distance uncertainty;76;0.807343;0.0923692;61.3581;significant change;76;0.802632;0.398013;61;STD_cloud2;76;1.36827;0.412018;103.989;STD_cloud1;76;1.44002;0.37435;109.441;Npoints_cloud2;76;173.697;27.6282;13201;Npoints_cloud1;76;46.2105;10.2435;3512;Npoints cloud1 3D;76;31.0263;7.62609;2358;Npoints cloud2 3D;76;123.039;32.7653;9351;STD cloud1 3D;76;0.405446;0.138425;30.8139;STD cloud2 3D;76;0.165723;0.0510234;12.5949;significant change 3D;76;1;0;76;distance uncertainty 3D;76;0.483891;0.0558895;36.7757;M3C2 distance 3D;76;-0.991184;0.440045;-75.33;
Vertical_M3C2 - Cloud_CC#50;27;3261.47;1720.83;377.94;M3C2 distance;27;-0.859303;0.954392;-23.2012;distance uncertainty;17;1.24667;0.307988;21.1933;significant change;27;0.185185;0.388448;5;STD_cloud2;27;1.58662;0.454106;42.8387;STD_cloud1;27;1.00103;0.559104;27.0279;Npoints_cloud2;27;36.5926;8.88719;988;Npoints_cloud1;27;9.85185;7.7062;266;Npoints cloud1 3D;27;14.8519;5.76518;401;Npoints cloud2 3D;27;49.1481;30.3641;1327;STD cloud1 3D;27;0.394896;0.195472;10.6622;STD cloud2 3D;27;0.229578;0.0869852;6.19862;significant change 3D;27;1;0;27;distance uncertainty 3D;27;0.561831;0.130756;15.1694;M3C2 distance 3D;27;-0.83214;0.275439;-22.4678;
Vertical_M3C2 - Cloud_CC#51;73;3357.55;1723.73;379.236;M3C2 distance;55;-2.33457;1.31132;-128.401;distance uncertainty;3;1.10939;0.11967;3.32817;significant change;73;0;0;0;STD_cloud2;73;1.1207;0.211971;81.8114;STD_cloud1;55;0.470898;0.579401;25.8994;Npoints_cloud2;73;66.2329;16.4895;4835;Npoints_cloud1;73;1.71233;1.66741;125;Npoints cloud1 3D;73;7.57534;3.02464;553;Npoints cloud2 3D;73;208.068;48.7452;15189;STD cloud1 3D;73;0.712908;0.26385;52.0423;STD cloud2 3D;73;0.266367;0.0699558;19.4448;significant change 3D;73;1;0;73;distance uncertainty 3D;73;0.870483;0.229428;63.5452;M3C2 distance 3D;73;-1.53846;0.556766;-112.308;
Vertical_M3C2 - Cloud_CC#52;57;3346.37;1744.17;379.219;M3C2 distance;32;-1.4669;1.50187;-46.9409;distance uncertainty;13;1.3323;0.645598;17.3199;significant change;57;0.192982;0.394639;11;STD_cloud2;57;1.27777;0.264788;72.8326;STD_cloud1;32;0.512226;0.737231;16.3912;Npoints_cloud2;57;51.5088;11.0328;2936;Npoints_cloud1;57;1.94737;2.20383;111;Npoints cloud1 3D;57;11.2281;11.8987;640;Npoints cloud2 3D;57;172.789;83.7556;9849;STD cloud1 3D;57;0.561539;0.280756;32.0077;STD cloud2 3D;57;0.408572;0.32722;23.2886;significant change 3D;57;1;0;57;distance uncertainty 3D;57;0.705216;0.18185;40.1973;M3C2 distance 3D;57;-1.30548;0.476954;-74.4125;
Vertical_M3C2 - Cloud_CC#56;1687;2782.82;1461.86;398.944;M3C2 distance;1554;-2.48285;1.92568;-3858.35;distance uncertainty;907;1.38561;0.504337;1256.75;significant change;1687;0.375815;0.484333;634;STD_cloud2;1687;1.43069;0.493534;2413.58;STD_cloud1;1554;1.10814;0.804794;1722.05;Npoints_cloud2;1687;78.8542;56.3901;133027;Npoints_cloud1;1687;5.98222;5.28856;10092;Npoints cloud1 3D;1687;12.1618;12.7659;20517;Npoints cloud2 3D;1687;166.564;147.184;280994;STD cloud1 3D;1687;0.617767;0.419213;1042.17;STD cloud2 3D;1687;0.285685;0.280651;481.951;significant change 3D;1687;1;0;1687;distance uncertainty 3D;1687;0.712055;0.244056;1201.24;M3C2 distance 3D;1687;-1.69839;1.05885;-2865.19;
Vertical_M3C2 - Cloud_CC#61;31;3320.45;1752.74;381.049;M3C2 distance;31;-1.0441;1.3556;-32.367;distance uncertainty;29;1.3564;0.330434;39.3355;significant change;31;0.451613;0.497653;14;STD_cloud2;31;1.74827;0.622909;54.1964;STD_cloud1;31;1.53686;0.780184;47.6425;Npoints_cloud2;31;32.129;22.0289;996;Npoints_cloud1;31;17.1613;9.31906;532;Npoints cloud1 3D;31;14.871;6.36899;461;Npoints cloud2 3D;31;31.1935;31.9692;967;STD cloud1 3D;31;0.330782;0.123419;10.2543;STD cloud2 3D;31;0.321513;0.164601;9.96691;significant change 3D;31;1;0;31;distance uncertainty 3D;31;0.570019;0.109882;17.6706;M3C2 distance 3D;31;-0.703679;0.159509;-21.814;
Vertical_M3C2 - Cloud_CC#63;2856;2766.99;1329.48;424.582;M3C2 distance;2776;-1.22114;1.09258;-3389.87;distance uncertainty;2305;0.750125;0.297558;1729.04;significant change;2856;0.568627;0.495268;1624;STD_cloud2;2856;1.03486;0.564216;2955.55;STD_cloud1;2776;0.811416;0.624049;2252.49;Npoints_cloud2;2856;121.485;66.9567;346962;Npoints_cloud1;2856;29.681;32.3879;84769;Npoints cloud1 3D;2856;27.4391;21.7463;78366;Npoints cloud2 3D;2856;138.567;85.7974;395748;STD cloud1 3D;2856;0.418975;0.639249;1196.59;STD cloud2 3D;2856;0.270057;0.297364;771.283;significant change 3D;2856;1;0;2856;distance uncertainty 3D;2856;0.544338;0.361304;1554.63;M3C2 distance 3D;2856;-1.08697;1.34411;-3104.4;
Vertical_M3C2 - Cloud_CC#65;60;2887.38;1406.6;385.555;M3C2 distance;60;-1.14559;1.54049;-68.7355;distance uncertainty;60;1.1417;0.348647;68.5021;significant change;60;0.583333;0.493007;35;STD_cloud2;60;2.08072;0.903414;124.843;STD_cloud1;60;1.52053;0.785388;91.2316;Npoints_cloud2;60;179.25;71.6632;10755;Npoints_cloud1;60;20.8833;13.9201;1253;Npoints cloud1 3D;60;17.2833;10.7658;1037;Npoints cloud2 3D;60;191.883;324.074;11513;STD cloud1 3D;60;0.482764;0.365054;28.9659;STD cloud2 3D;60;0.460208;0.635863;27.6125;significant change 3D;60;1;0;60;distance uncertainty 3D;60;0.574591;0.126125;34.4754;M3C2 distance 3D;60;-1.07851;0.36439;-64.7106;
